name,latitude,longitude,free_bikes,empty_slots
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,9,3
Marché Maisonneuve,45.55321884238814,-73.53978216648102,14,8
Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,8,5
Cité des Arts du Cirque (Paul Boutet / des Regrattiers),45.55984236120471,-73.61544728279114,8,26
Omer-Lavallée / du Midway,45.5457759528664,-73.56217458844185,6,12
Papineau / Émile-Journault,45.55988367688166,-73.63356828689575,11,23
CHSLD St-Michel (8e avenue / Jarry),45.5616903,-73.610512,7,7
Chabanel / du Parc,45.53830765459552,-73.6548838019371,0,28
Métro Henri-Bourassa (Henri-Bourassa / Millen),45.55675103297278,-73.66716161370277,10,6
St-Hubert / de Maisonneuve (sud),45.51586835126322,-73.56008380651474,4,14
CHSLD Joseph-François-Perrault (St-Michel / Everett),45.55969734528566,-73.60145956277847,4,13
Parc Nicolas-Tillemont (des Érables / Villeray),45.55463653358596,-73.61255215771962,6,10
Préfontaine / Marcel-Pépin,45.54365380040509,-73.55942063033581,8,9
BAnQ (Berri),45.51601387670667,-73.56291957199574,13,0
Messier / St-Joseph,45.53946063965585,-73.57605636119843,7,8
Square Viger (Berri / Viger),45.5121682576952,-73.55481594800949,11,14
Dorion / Ontario,45.526991277453526,-73.55821162462234,21,14
Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,2,16
Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,6,43
Métro Place-d'Armes (Viger / St-Urbain),45.50631445605528,-73.55967122894072,19,14
Jeanne-Mance / Sherbrooke,45.50928678961862,-73.57101917266846,5,19
Métro Laurier (Berri / St-Joseph),45.52723106564012,-73.58672618865965,3,15
Métro Frontenac (Ontario / du Havre),45.533705987798946,-73.55217933654784,16,6
du Mont-Royal / Clark,45.51941,-73.58685,17,16
Gary-Carter / St-Laurent,45.53613488953656,-73.62258464097977,28,9
Métro Parc  (Hutchison / Ogilvy),45.53035130173597,-73.6243924498558,8,24
6e avenue / Villeray,45.55873962047568,-73.60589044634253,3,12
des Bassins / du Séminaire,45.49047561880464,-73.56022328138351,34,0
St-Jacques / Vinet,45.485328993998365,-73.57692271471024,4,11
Métro Lionel-Groulx (St-Jacques / Atwater),45.48295816149219,-73.57975836854166,31,0
Métro Pie-IX (Pierre-de-Coubertin / Desjardins),45.554373399819674,-73.55137467384337,3,37
du Parc-Lafontaine / Rachel,45.52551168509886,-73.57424452900887,17,0
Ste-Catherine / St-Clément,45.55671730558936,-73.53024959564209,6,9
de l'Hôtel-de-Ville / Rachel,45.51989655507833,-73.58010649681091,12,1
Workman / Vinet,45.483788863965174,-73.5750612616539,7,16
Métro Acadie (de l'Acadie / Beaumont),45.52357479400008,-73.62344294786453,3,10
